,story_name,document_id,word,word_n,paragraph_n,number_word,lp_GroNLP_gpt2.medium.dutch.embeddings,lp_GroNLP_gpt2.small.dutch,lp_yhavinga_gpt2.large.dutch,lp_yhavinga_gpt.neo.125M.dutch,zipf_freq,zero_freq,lp,sd_lp,se_lp,wl,s_lp,s_wl,s_freq,s_lp1,s_lp2,s_lp3,s_wl1,s_wl2,s_wl3,s_freq1,s_freq2,s_freq3,word_rm_punct,pos
2244,de zilveren schaatsen,4,meer,7,14,450,-3.65822100639343,-4.46986150741577,-1.47739064693451,-4.95309162139893,6.30503382214651,False,-3.63964119553566,1.53732347840396,0.768661739201982,4,0.354682082367902,-0.393408801846939,0.687112494135123,0.569032630645664,-0.283400935198581,0.133634953306805,-0.393408801846939,-0.393408801846939,-1.0343949469528,0.291487574527256,0.816335108647073,1.24896625218719,meer,PRON
2245,de zilveren schaatsen,4,"doen,",8,14,451,-4.0598738193512,-2.07926672697067,-1.52767147123814,-3.06123340129852,1.35550232686675,True,-2.68201135471463,1.1162610185986,0.5581305092993,5,0.596163645485057,-0.0729157292940105,-1.52905501871149,0.354682082367902,0.569032630645664,-0.283400935198581,-0.393408801846939,-0.393408801846939,-0.393408801846939,0.687112494135123,0.291487574527256,0.816335108647073,doen,VERB
2246,de zilveren schaatsen,4,"Griete,'",9,14,452,-3.1737752109766,-3.57460670918226,-2.3135087043047,-4.78659309446812,1.35550232686675,True,-3.46212092973292,1.02783475709295,0.513917378546473,8,0.399446634853303,0.888563488364776,-1.52905501871149,0.596163645485057,0.354682082367902,0.569032630645664,-0.0729157292940105,-0.393408801846939,-0.393408801846939,-1.52905501871149,0.687112494135123,0.291487574527256,griete,ADJ
2247,de zilveren schaatsen,4,zei,10,14,453,-0.552585303783417,-0.528261303901672,-0.878319203853607,-1.02151536941528,6.10474379038751,False,-0.745170295238495,0.243744211106425,0.121872105553212,3,1.08456885866303,-0.713901874399868,0.597432034084586,0.399446634853303,0.596163645485057,0.354682082367902,0.888563488364776,-0.0729157292940105,-0.393408801846939,-1.52905501871149,-1.52905501871149,0.687112494135123,zei,VERB
2248,de zilveren schaatsen,4,"hij,",11,14,454,-2.32352656126022,-1.41298675537109,-2.00965601205826,-1.88030689954758,1.35550232686675,True,-1.90661905705929,0.378062455183187,0.189031227591594,4,0.791691119760797,-0.393408801846939,-1.52905501871149,1.08456885866303,0.399446634853303,0.596163645485057,-0.713901874399868,0.888563488364776,-0.0729157292940105,0.597432034084586,-1.52905501871149,-1.52905501871149,hij,PRON
2249,de zilveren schaatsen,4,'want,12,14,455,-3.69529390335083,-4.35800611972809,-3.29123711585999,-6.42912113666534,1.35550232686675,True,-4.44341456890106,1.39493399963008,0.697466999815038,5,0.151997869409567,-0.0729157292940105,-1.52905501871149,0.791691119760797,1.08456885866303,0.399446634853303,-0.393408801846939,-0.713901874399868,0.888563488364776,-1.52905501871149,0.597432034084586,-1.52905501871149,want,CCONJ
2250,de zilveren schaatsen,4,nu,13,14,456,-4.72903537750244,-3.85224175453186,-3.11196541786194,-3.97336220741272,6.48616089049185,False,-3.91665118932724,0.662030204461685,0.331015102230842,2,0.284829615946729,-1.0343949469528,0.768212680071288,0.151997869409567,0.791691119760797,1.08456885866303,-0.0729157292940105,-0.393408801846939,-0.713901874399868,-1.52905501871149,-1.52905501871149,0.597432034084586,nu,ADV
2251,de zilveren schaatsen,4,zal,14,14,457,-2.69671726226807,-3.06737303733826,-2.90234971046448,-3.44859719276428,6.33835675137231,False,-3.02875930070877,0.318321732455124,0.159160866227562,3,0.508725647589609,-0.713901874399868,0.70203293524223,0.284829615946729,0.151997869409567,0.791691119760797,-1.0343949469528,-0.0729157292940105,-0.393408801846939,0.768212680071288,-1.52905501871149,-1.52905501871149,zal,AUX
2252,de zilveren schaatsen,4,je,15,14,458,-1.16355049610138,-1.72899270057678,-1.06064534187317,-2.50410890579224,7.5598635473815,False,-1.61432436108589,0.661972531592591,0.330986265796296,2,0.86539786642399,-1.0343949469528,1.24896625218719,0.508725647589609,0.284829615946729,0.151997869409567,-0.713901874399868,-1.0343949469528,-0.0729157292940105,0.70203293524223,0.768212680071288,-1.52905501871149,je,PRON
2253,de zilveren schaatsen,4,wel,16,14,459,-4.35018062591553,-3.16749906539917,-3.10526776313782,-6.2360315322876,6.60947241028212,False,-4.21474474668503,1.46419555171972,0.732097775859858,3,0.209660594350456,-0.713901874399868,0.823425781428364,0.86539786642399,0.508725647589609,0.284829615946729,-1.0343949469528,-0.713901874399868,-1.0343949469528,1.24896625218719,0.70203293524223,0.768212680071288,wel,ADV
2254,de zilveren schaatsen,4,enige,17,14,460,-10.619909286499,-8.68777942657471,-8.28646659851074,-9.95555877685547,5.57248588624885,False,-9.38742852210999,1.08680063106423,0.543400315532116,5,-1.09471371642649,-0.0729157292940105,0.359111967481744,0.209660594350456,0.86539786642399,0.508725647589609,-0.713901874399868,-1.0343949469528,-0.713901874399868,0.823425781428364,1.24896625218719,0.70203293524223,enige,DET
2255,de zilveren schaatsen,4,drukking,18,14,461,-20.6535878181458,-19.4113073348999,-10.672935962677,-12.839647769928,1.35550232686675,True,-15.8943697214127,4.8858197458625,2.44290987293125,8,-2.73554221292766,0.888563488364776,-1.52905501871149,-1.09471371642649,0.209660594350456,0.86539786642399,-0.0729157292940105,-0.713901874399868,-1.0343949469528,0.359111967481744,0.823425781428364,1.24896625218719,drukking,ADV
2256,de zilveren schaatsen,4,kunnen,19,14,462,-5.66125869750977,-3.83876943588257,-3.49295258522034,-5.60518264770508,6.22795580016307,False,-4.64954084157944,1.14482472438168,0.572412362190842,6,0.10001985827824,0.247577343258918,0.652600579535308,-2.73554221292766,-1.09471371642649,0.209660594350456,0.888563488364776,-0.0729157292940105,-0.713901874399868,-1.52905501871149,0.359111967481744,0.823425781428364,kunnen,AUX
2257,de zilveren schaatsen,4,verdragen.',20,14,463,-3.67014980316162,-4.94027352333069,-2.11303061246872,-6.11622440814972,1.35550232686675,True,-4.20991958677769,1.71811037038837,0.859055185194184,11,0.210877335002268,1.85004270602356,-1.52905501871149,0.10001985827824,-2.73554221292766,-1.09471371642649,0.247577343258918,0.888563488364776,-0.0729157292940105,0.652600579535308,-1.52905501871149,0.359111967481744,verdragen,VERB
2258,de zilveren schaatsen,4,Griete,0,15,464,-3.02208016999066,-2.09085443429649,-2.67050410341471,-2.49134367704391,1.35550232686675,True,-2.56869559618644,0.38740075688235,0.193700378441175,6,0.624738012457302,0.247577343258918,-1.52905501871149,0.210877335002268,0.10001985827824,-2.73554221292766,1.85004270602356,0.247577343258918,0.888563488364776,-1.52905501871149,0.652600579535308,-1.52905501871149,griete,ADJ
2259,de zilveren schaatsen,4,beet,1,15,465,-6.72570753097534,-6.39204692840576,-6.24496459960938,-8.15957355499268,4.2639873457454,False,-6.88057315349579,0.876067252829776,0.438033626414888,4,-0.462570348376701,-0.393408801846939,-0.226772162932712,0.624738012457302,0.210877335002268,0.10001985827824,0.247577343258918,1.85004270602356,0.247577343258918,-1.52905501871149,-1.52905501871149,0.652600579535308,beet,VERB
2260,de zilveren schaatsen,4,zich,2,15,466,-4.44825458526611,-6.0108962059021,-2.20173263549805,-4.65559101104736,5.83617027468855,False,-4.32911860942841,1.57849343529773,0.789246717648866,4,0.180819409606945,-0.393408801846939,0.477177440115303,-0.462570348376701,0.624738012457302,0.210877335002268,-0.393408801846939,0.247577343258918,1.85004270602356,-0.226772162932712,-1.52905501871149,-1.52905501871149,zich,PRON
2261,de zilveren schaatsen,4,op,3,15,467,-1.59073567390442,-1.9654129743576,-2.89421367645264,-4.22548770904541,6.90308629449834,False,-2.66896250844002,1.17346550047725,0.586732750238623,2,0.599454119174314,-1.0343949469528,0.954892275204845,0.180819409606945,-0.462570348376701,0.624738012457302,-0.393408801846939,-0.393408801846939,0.247577343258918,0.477177440115303,-0.226772162932712,-1.52905501871149,op,ADP
2262,de zilveren schaatsen,4,de,4,15,468,-1.54569911956787,-2.12814664840698,-1.16282963752747,-1.48221957683563,7.38129056461726,False,-1.57972374558449,0.402174554048317,0.201087277024158,2,0.874122960776659,-1.0343949469528,1.16900966569984,0.599454119174314,0.180819409606945,-0.462570348376701,-1.0343949469528,-0.393408801846939,-0.393408801846939,0.954892275204845,0.477177440115303,-0.226772162932712,de,DET
2263,de zilveren schaatsen,4,"lippen,",5,15,469,-7.16204988956451,-6.92360901832581,-4.33631032705307,-6.95895707607269,1.35550232686675,True,-6.34523157775402,1.34339572192705,0.671697860963524,7,-0.32757547352935,0.568070415811847,-1.52905501871149,0.874122960776659,0.599454119174314,0.180819409606945,-1.0343949469528,-1.0343949469528,-0.393408801846939,1.16900966569984,0.954892275204845,0.477177440115303,lippen,NOUN
2264,de zilveren schaatsen,4,want,6,15,470,-3.21987652778625,-3.46844172477722,-4.91491222381592,-2.61072635650635,5.61859370671843,False,-3.55348920822144,0.976525288450787,0.488262644225394,4,0.376406673306351,-0.393408801846939,0.379756881835818,-0.32757547352935,0.874122960776659,0.599454119174314,0.568070415811847,-1.0343949469528,-1.0343949469528,-1.52905501871149,1.16900966569984,0.954892275204845,want,CCONJ
2265,de zilveren schaatsen,4,zij,7,15,471,-3.48780918121338,-3.91746997833252,-1.60425090789795,-4.83667945861816,5.87452922081007,False,-3.4615523815155,1.36003596970823,0.680017984854115,3,0.399590003309878,-0.713901874399868,0.494352772831664,0.376406673306351,-0.32757547352935,0.874122960776659,-0.393408801846939,0.568070415811847,-1.0343949469528,0.379756881835818,-1.52905501871149,1.16900966569984,zij,PRON
2266,de zilveren schaatsen,4,wilde,8,15,472,-4.20150804519653,-4.27737855911255,-3.29721570014954,-4.58166694641113,5.85462556027098,False,-4.08944231271744,0.553108445298287,0.276554222649144,5,0.241257591777913,-0.0729157292940105,0.485440849366682,0.399590003309878,0.376406673306351,-0.32757547352935,-0.713901874399868,-0.393408801846939,0.568070415811847,0.494352772831664,0.379756881835818,-1.52905501871149,wilde,VERB
2267,de zilveren schaatsen,4,zeggen:,9,15,473,-5.58273100852966,-6.04261213541031,-8.9132524728775,-8.18646574020386,1.35550232686675,True,-7.18126533925533,1.61885251564546,0.809426257822731,7,-0.538394655367881,0.568070415811847,-1.52905501871149,0.241257591777913,0.399590003309878,0.376406673306351,-0.0729157292940105,-0.713901874399868,-0.393408801846939,0.485440849366682,0.494352772831664,0.379756881835818,zeggen,VERB
2268,de zilveren schaatsen,4,'Het,10,15,474,-3.71843987703323,-3.38429854810238,-3.59864857792854,-4.60794079303741,1.35550232686675,True,-3.82733194902539,0.538449109090841,0.269224554545421,4,0.307352879994177,-0.393408801846939,-1.52905501871149,-0.538394655367881,0.241257591777913,0.399590003309878,0.568070415811847,-0.0729157292940105,-0.713901874399868,-1.52905501871149,0.485440849366682,0.494352772831664,het,DET
2269,de zilveren schaatsen,4,doet,11,15,475,-5.15893030166626,-5.37612390518188,-4.98859357833862,-5.92398166656494,5.91810444164521,False,-5.36190736293793,0.406895769637019,0.203447884818509,4,-0.0796146662082708,-0.393408801846939,0.513863708133736,0.307352879994177,-0.538394655367881,0.241257591777913,-0.393408801846939,0.568070415811847,-0.0729157292940105,-1.52905501871149,-1.52905501871149,0.485440849366682,doet,VERB
2270,de zilveren schaatsen,4,mij,12,15,476,-2.30339574813843,-2.83345031738281,-3.23639440536499,-2.84301233291626,6.40120856765477,False,-2.80406320095062,0.382952915342911,0.191476457671456,3,0.565386335344917,-0.713901874399868,0.730175023741198,-0.0796146662082708,0.307352879994177,-0.538394655367881,-0.393408801846939,-0.393408801846939,0.568070415811847,0.513863708133736,-1.52905501871149,-1.52905501871149,mij,PRON
2271,de zilveren schaatsen,4,toch,13,15,477,-3.82752418518066,-4.47994613647461,-4.55625009536743,-2.73150253295898,6.22507430624245,False,-3.89880573749542,0.844123821494782,0.422061910747391,4,0.289329629855219,-0.393408801846939,0.651310382024406,0.565386335344917,-0.0796146662082708,0.307352879994177,-0.713901874399868,-0.393408801846939,-0.393408801846939,0.730175023741198,0.513863708133736,-1.52905501871149,toch,ADV
2272,de zilveren schaatsen,4,nog,14,15,478,-4.20335960388184,-4.4132342338562,-4.10685157775879,-4.10512256622314,6.60111121972906,False,-4.20714199542999,0.144861369405033,0.0724306847025165,3,0.211577748744353,-0.713901874399868,0.819682033380679,0.289329629855219,0.565386335344917,-0.0796146662082708,-0.393408801846939,-0.713901874399868,-0.393408801846939,0.651310382024406,0.730175023741198,0.513863708133736,nog,ADV
2273,de zilveren schaatsen,4,"zeer',",15,15,479,-12.2692837715149,-13.0874838829041,-10.5236887931824,-13.9422745704651,1.35550232686675,True,-12.4556827545166,1.45790639166496,0.728953195832482,6,-1.86842271806656,0.247577343258918,-1.52905501871149,0.211577748744353,0.289329629855219,0.565386335344917,-0.713901874399868,-0.393408801846939,-0.713901874399868,0.819682033380679,0.651310382024406,0.730175023741198,zeer,ADV
2274,de zilveren schaatsen,4,maar,16,15,480,-1.50917196273804,-1.5303738117218,-2.21918392181396,-2.00104427337646,6.91981797412884,False,-1.81494349241257,0.352382347725661,0.17619117386283,4,0.814808568389547,-0.393408801846939,0.962383934742285,-1.86842271806656,0.211577748744353,0.289329629855219,0.247577343258918,-0.713901874399868,-0.393408801846939,-1.52905501871149,0.819682033380679,0.651310382024406,maar,CCONJ
2275,de zilveren schaatsen,4,zij,17,15,481,-3.99768161773682,-4.08517742156982,-5.69038486480713,-5.33298063278198,5.87452922081007,False,-4.77655613422394,0.862040449201615,0.431020224600807,3,0.0679909363502428,-0.713901874399868,0.494352772831664,0.814808568389547,-1.86842271806656,0.211577748744353,-0.393408801846939,0.247577343258918,-0.713901874399868,0.962383934742285,-1.52905501871149,0.819682033380679,zij,PRON
